KOD;NAZEV;ORP_KOD;SPRAVNI_OBEC_KOD;PLATI_OD;PLATI_DO;DATUM_VZNIKU
3247;Uhersk˝ Brod;1619;592731;16.08.2024 00:00:00;;24.11.1990 00:00:00
3255;Uhersk˝ Ostroh;1601;592749;04.10.2023 00:00:00;;24.11.1990 00:00:00
205;UhlÌ¯skÈ Janovice;116;534498;11.10.2023 00:00:00;;24.11.1990 00:00:00
116;Unhoöù;78;533017;18.03.2021 00:00:00;;20.03.1992 00:00:00
3719;UniËov;1902;505587;02.12.2021 00:00:00;;24.11.1990 00:00:00
2917;ValaöskÈ Klobouky;1449;585891;24.06.2021 00:00:00;;24.11.1990 00:00:00
3905;ValaöskÈ Mezi¯ÌËÌ;2046;545058;13.02.2024 00:00:00;;24.11.1990 00:00:00
2429;Vamberk;1121;576883;19.05.2025 00:00:00;;24.11.1990 00:00:00
1601;Varnsdorf;744;562882;30.10.2023 00:00:00;;24.11.1990 00:00:00
1678;Vejprty;761;563404;20.12.2018 00:00:00;;24.11.1990 00:00:00
3395;Velk· BÌteö;1694;596973;19.09.2023 00:00:00;;24.11.1990 00:00:00
2984;Velk· nad VeliËkou;1490;586714;16.08.2024 00:00:00;;24.11.1990 00:00:00
1953;VelkÈ B¯ezno;922;568350;25.01.2022 00:00:00;;20.03.1992 00:00:00
3409;VelkÈ Mezi¯ÌËÌ;1694;597007;20.05.2025 00:00:00;;24.11.1990 00:00:00
2739;VelkÈ Opatovice;1309;582646;16.11.2022 00:00:00;;01.01.2003 00:00:00
124;Velvary;86;533041;20.07.2022 00:00:00;;24.11.1990 00:00:00
1007;VeselÌ nad LuûnicÌ;469;553271;23.01.2024 00:00:00;;24.11.1990 00:00:00
2992;VeselÌ nad Moravou;1490;586722;16.08.2024 00:00:00;;24.11.1990 00:00:00
892;Vimperk;426;550647;25.09.2024 00:00:00;;24.11.1990 00:00:00
2925;Vizovice;1457;585939;15.01.2021 00:00:00;;24.11.1990 00:00:00
51;Vlaöim;35;530883;17.01.2025 00:00:00;;24.11.1990 00:00:00
931;VodÚany;451;551953;19.05.2021 00:00:00;;24.11.1990 00:00:00
671;Vojensk˝ ˙jezd Boletice;329;545422;13.10.2022 00:00:00;;01.01.2003 00:00:00
3301;Vojensk˝ ˙jezd B¯ezina;1643;592935;05.12.2023 00:00:00;;01.01.2003 00:00:00
1147;Vojensk˝ ˙jezd HradiötÏ;531;555177;20.07.2023 00:00:00;;01.01.2003 00:00:00
3727;Vojensk˝ ˙jezd Libav·;1899;503941;17.06.2019 00:00:00;;01.01.2003 00:00:00
906;Volary;418;550671;13.10.2022 00:00:00;;24.11.1990 00:00:00
949;VolynÏ;442;551970;19.04.2023 00:00:00;;24.11.1990 00:00:00
60;Votice;43;530905;06.04.2022 00:00:00;;24.11.1990 00:00:00
3352;Vranov nad DyjÌ;1660;595098;12.01.2023 00:00:00;;24.11.1990 00:00:00
3549;Vratimov;1961;598879;24.08.2017 00:00:00;;20.03.1992 00:00:00
3492;Vrbno pod PradÏdem;1716;597961;27.09.2022 00:00:00;;24.11.1990 00:00:00
2577;VrchlabÌ;1228;579858;07.01.2025 00:00:00;;24.11.1990 00:00:00
3913;VsetÌn;2054;541630;15.01.2021 00:00:00;;24.11.1990 00:00:00
2658;VysokÈ M˝to;1252;581186;25.06.2025 00:00:00;;24.11.1990 00:00:00
3310;Vyökov;1643;592889;16.10.2017 00:00:00;;24.11.1990 00:00:00
680;VyööÌ Brod;329;545848;21.11.2017 00:00:00;;24.11.1990 00:00:00
3778;VÌtkov;1953;511021;21.06.2023 00:00:00;;24.11.1990 00:00:00
1368;Vöeruby;647;559628;15.12.2023 00:00:00;;20.03.1992 00:00:00
1392;Zbiroh;655;560260;01.11.2022 00:00:00;;24.11.1990 00:00:00
3948;ZlatÈ Hory;2062;597996;18.01.2022 00:00:00;;24.11.1990 00:00:00
639;Zliv;302;545341;28.12.2023 00:00:00;;24.11.1990 00:00:00
2933;ZlÌn;1465;585068;07.03.2024 00:00:00;;24.11.1990 00:00:00
3361;Znojmo;1660;593711;13.06.2019 00:00:00;;24.11.1990 00:00:00
213;ZruË nad S·zavou;116;534633;03.05.2023 00:00:00;;24.11.1990 00:00:00
3859;Z·b¯eh;2011;541354;01.03.2024 00:00:00;;24.11.1990 00:00:00
2593;⁄pice;1210;579777;27.05.2025 00:00:00;;24.11.1990 00:00:00
1961;⁄stÌ nad Labem;922;554804;13.06.2025 00:00:00;;24.11.1990 00:00:00
2682;⁄stÌ nad OrlicÌ;1287;579891;19.05.2025 00:00:00;;24.11.1990 00:00:00
418;⁄valy;213;538957;06.12.2017 00:00:00;;24.11.1990 00:00:00
1830;⁄ötÏk;825;565814;25.01.2022 00:00:00;;24.11.1990 00:00:00
396;»el·kovice;213;538132;24.03.2025 00:00:00;;24.11.1990 00:00:00
477;»ernoöice;230;539139;20.06.2017 00:00:00;;24.11.1990 00:00:00
2291;»erven˝ Kostelec;1066;573965;28.04.2022 00:00:00;;24.11.1990 00:00:00
1627;»esk· Kamenice;728;562394;02.12.2024 00:00:00;;24.11.1990 00:00:00
1562;»esk· LÌpa;710;561380;13.01.2023 00:00:00;;24.11.1990 00:00:00
2305;»esk· Skalice;1066;573990;18.01.2019 00:00:00;;24.11.1990 00:00:00
2674;»esk· T¯ebov·;1279;580031;31.05.2016 00:00:00;;24.11.1990 00:00:00
647;»eskÈ BudÏjovice;302;544256;17.03.2025 00:00:00;;24.11.1990 00:00:00
761;»eskÈ Velenice;353;546089;15.04.2016 00:00:00;;24.11.1990 00:00:00
183;»esk˝ Brod;108;533271;04.07.2024 00:00:00;;24.11.1990 00:00:00
1775;»esk˝ Dub;817;563960;05.06.2023 00:00:00;;24.11.1990 00:00:00
698;»esk˝ Krumlov;329;545392;17.03.2025 00:00:00;;24.11.1990 00:00:00
3590;»esk˝ TÏöÌn;1821;598933;08.11.2024 00:00:00;;24.11.1990 00:00:00
221;»·slav;124;534005;09.01.2025 00:00:00;;24.11.1990 00:00:00
400;ÿÌËany;221;538728;02.01.2024 00:00:00;;24.11.1990 00:00:00
2798;älapanice;1368;583952;04.04.2023 00:00:00;;24.11.1990 00:00:00
1619;äluknov;736;562858;24.05.2021 00:00:00;;24.11.1990 00:00:00
3735;äternberk;1911;505188;18.04.2024 00:00:00;;24.11.1990 00:00:00
1821;ätÏtÌ;825;565709;25.10.2023 00:00:00;;24.11.1990 00:00:00
3867;äumperk;2020;523704;16.05.2025 00:00:00;;24.11.1990 00:00:00
2585;éaclÈ¯;1210;579874;06.06.2015 00:00:00;;24.11.1990 00:00:00
2666;éamberk;1261;581259;31.08.2023 00:00:00;;24.11.1990 00:00:00
1872;éatec;876;566985;04.03.2025 00:00:00;;24.11.1990 00:00:00
3000;éd·nice;1481;586803;05.12.2018 00:00:00;;24.11.1990 00:00:00
1708;éelezn˝ Brod;795;563871;04.11.2022 00:00:00;;24.11.1990 00:00:00
2801;éidlochovice;1376;584282;27.06.2024 00:00:00;;24.11.1990 00:00:00
1155;élutice;531;555762;24.08.2020 00:00:00;;24.11.1990 00:00:00
3417;éÔ·r nad S·zavou;1708;595209;08.01.2025 00:00:00;;24.11.1990 00:00:00
531;Vojensk˝ ˙jezd Brdy;256;539996;06.06.2015 00:00:00;31.12.2015 00:00:00;01.01.2003 00:00:00
